"","TRANSECT","TRAP_START","PeriodID","JulianDate","month","year","Effort","Woylie_Caps","Chuditch_Caps","Quenda_Caps","Koomal_Caps","Round","prop.2yrsburnt.500m.transect","prop.2yrsburnt.1km.transect","prop.great10yrs.unburnt.500m.transect","prop.great10yrs.unburnt.1km.transect","prop.great20yrs.unburnt.500m.transect","prop.great20yrs.unburnt.1km.transect","prop.burnttwice.500m.transect","prop.burntthree.500m.transect","tsf.cat.shannon.diversity","prop_burnt_transect","prop_moderate_transect","prop_severe_transect","severity_diversity","pa_severe_transect","prop.5yrsharvest.500m.transect","prop.20yrsharvest.500m.transect","prop.great20yrsharvest.500m.transect","prop.5yrsharvest.1km.transect","prop.20yrsharvest.1km.transect","prop.great20yrsharvest.1km.transect","tsh.shannon.diversity","Year","BaitIntensity.Transect.Twelve","Rain.TwelveMonths","Rain.PrvAutumn","mean.smNDVI","ndvi.monthly.anomaly","prop.pasture.1km","prop.pasture.5km","DistCentroidPasture","Distance.Assets","RoadLength1km","RoadLength5km","mean.annual.precip","rain.anomaly.twelve","valleys.prop.area","Woylie_Abundance","Woylie_SD","Koomal_Abundance","Koomal_SD","Chuditch_Abundance","Chuditch_SD","Quenda_PA"
"1","Balban",2004-11-16,10,321,11,2004,200,134,0,0,4,"Nov_2004",0.395705521472393,0.399180700955849,0.593676262387919,0.553140646335913,0.059226050023596,0.107874374146563,0.226757904672015,0,0.957118735321547,0.392415043759363,0.367657494283687,0.0247575494756761,1.04084545177211,1,0,0,0.970821357024649,0,0,0.940041493775934,0.232322486446762,2004,22.6678047180176,488.347015380859,168.954559326172,66.3355712890625,-0.131534463473486,0.0153709725096069,0.184780470919576,14.6538709000886,19272.1953125,40213.3308748104,308481.833589957,609.22705078125,-0.198415410552402,0.312599275490071,137.702,154,32.0123333333333,73.0250000000001,2.92266666666667,9,0
"2","Balban",2006-03-21,13,80,3,2006,200,72,4,0,14,"Mar_2006",0.395705521472393,0.39792899408284,0.593676262387919,0.561106053709604,0.059226050023596,0.107874374146563,0,0,0.870981306436474,0.392415043759363,0.367657494283687,0.0247575494756761,1.04084545177211,1,0,0,0.970821357024649,0,0,0.940041493775934,0.232322486446762,2006,26.0669765472412,875.048095703125,310.678436279297,66.3355712890625,0.0510320822750733,0.0161690806976057,0.184839473539292,14.6538709000886,19272.1953125,40213.3308748104,308481.833589957,609.22705078125,0.436325085337225,0.312599275490071,79.3756666666667,91,81.08,163.025,7.03366666666667,13,0
"3","Balban",2007-03-27,15,86,3,2007,200,42,0,1,73,"Mar_2007",0,0.0112653618570778,0.593676262387919,0.550068274920346,0.059226050023596,0.107874374146563,0,0,0.870981306436474,0,0,0,0,0,0,0,0.970821357024649,0,0,0.940041493775934,0.232322486446762,2007,23.8973808288574,444.562652587891,69.7983779907227,66.3355712890625,-0.0995049790342142,0.0160508424475318,0.17799910316018,14.6538709000886,19272.1953125,40213.3308748104,308481.833589957,609.22705078125,-0.270284121465388,0.312599275490071,48.3386666666667,56,281.237,530,5.38833333333333,12,1
"4","Balban",2008-04-08,17,99,4,2008,200,24,6,0,71,"Apr_2008",0,0.0112653618570778,0.593676262387919,0.550068274920346,0.059226050023596,0.107874374146563,0,0,0.870981306436474,0,0,0,0,0,0,0,0.970821357024649,0,0,0.940041493775934,0.232322486446762,2008,17.0808639526367,595.973388671875,91.3486557006836,66.3355712890625,-0.0235520917744868,0.0144841856340526,0.174506148072974,14.6538709000886,19272.1953125,40213.3308748104,308481.833589957,609.22705078125,-0.0217548811931102,0.312599275490071,29.5093333333333,37,285.076,539,12.393,21,0
"5","Balban",2011-11-08,24,312,11,2011,200,29,11,1,27,"Nov_2011",0.00165172251061822,0.00978607191624943,0.0205285512033978,0.0349340009103323,0.0188768286927796,0.0326581702321347,0.00117980179329873,0,0.130728702975314,0.00212883387211228,0.00165575967830955,0.000473074193802728,0.0181878372370868,1,0,0,0.970821357024649,0,0,0.940041493775934,0.232322486446762,2011,34.6753959655762,713.643249511719,114.398918151855,66.3355712890625,0.0493955001060526,0.0131244457582028,0.170615908679679,14.6538709000886,19272.1953125,40213.3308748104,308481.833589957,609.22705078125,0.171391271278203,0.312599275490071,30.3993333333333,36,140.825666666667,272,34.941,52,1
"6","Balban",2012-04-24,25,115,4,2012,200,25,28,0,50,"Apr_2012",0,0,0.0205285512033978,0.0357305416477014,0.0188768286927796,0.0326581702321347,0.00117980179329873,0,0.114546162203016,0,0,0,0,0,0,0,0.970821357024649,0,0,0.940041493775934,0.232322486446762,2012,36.6153678894043,687.2880859375,106.101608276367,66.3355712890625,0.0622064382093968,0.0133018031333136,0.171780227042081,14.6538709000886,19272.1953125,40213.3308748104,308481.833589957,609.22705078125,0.128131269050098,0.312599275490071,30.4113333333333,37,182.274333333333,348.025,43.636,59,0
"7","Balban",2012-11-06,26,311,11,2012,200,42,4,0,45,"Nov_2012",0,0,0.0205285512033978,0.0357305416477014,0.0188768286927796,0.0326581702321347,0.00117980179329873,0,0.114546162203016,0,0,0,0,0,0,0,0.970821357024649,0,0,0.940041493775934,0.232322486446762,2012,35.9918785095215,507.255126953125,106.101608276367,66.3355712890625,0.037499478801261,0.0133018031333136,0.171780227042081,14.6538709000886,19272.1953125,40213.3308748104,308481.833589957,609.22705078125,-0.167379179400127,0.312599275490071,46.269,53.0250000000001,184.261,356,29.61,45,0
"8","Balban",2013-04-16,27,106,4,2013,200,49,15,0,71,"Apr_2013",0,0,0.0205285512033978,0.0357305416477014,0.0200566304860783,0.0347064178425125,0.00117980179329873,0,0.114546162203016,0,0,0,0,0,0,0,0.970821357024649,0,0,0.940041493775934,0.232322486446762,2013,31.8136119842529,577.569641113281,66.6502685546875,66.3355712890625,0.0732212620079657,0.0133609222583506,0.175965479533958,14.6538709000886,19272.1953125,40213.3308748104,308481.833589957,609.22705078125,-0.051963237067974,0.312599275490071,53.7516666666667,62,233.070666666667,438.025,29.077,43,0
"9","Balban",2013-11-05,28,309,11,2013,200,55,8,0,47,"Nov_2013",0,0,0.0205285512033978,0.0357305416477014,0.0200566304860783,0.0347064178425125,0.00117980179329873,0,0.114546162203016,0,0,0,0,0,0,0,0.970821357024649,0,0,0.940041493775934,0.232322486446762,2013,48.8805351257324,710.220397949219,66.6502685546875,66.3355712890625,-0.0284695973445151,0.0133609222583506,0.175965479533958,14.6538709000886,19272.1953125,40213.3308748104,308481.833589957,609.22705078125,0.165772920027859,0.312599275490071,64.6283333333333,75.0250000000001,194.442666666667,368.05,21.6733333333333,34,0
"10","Balban",2014-03-11,29,70,3,2014,200,91,7,2,59,"Mar_2014",0,0,0.0205285512033978,0.0357305416477014,0.0200566304860783,0.0347064178425125,0.00117980179329873,0,0.108042860574114,0,0,0,0,0,0,0,0.970821357024649,0,0,0.940041493775934,0.232322486446762,2014,48.9317436218262,605.019348144531,150.805389404297,66.3355712890625,-0.0366791210504466,0.0132131244457582,0.177176999992133,14.6538709000886,19272.1953125,40213.3308748104,308481.833589957,609.22705078125,-0.0069066247654679,0.312599275490071,97.0983333333333,106,225.801333333333,428.025,15.7396666666667,26,1
