"","TRANSECT","TRAP_START","PeriodID","JulianDate","month","year","Trap.Effort","Woylie_Caps","Chuditch_Caps","Quenda_Caps","Koomal_Caps","Round","prop.2yrsburnt.500m.transect","prop.2yrsburnt.1km.transect","prop.great10yrs.unburnt.500m.transect","prop.great10yrs.unburnt.1km.transect","prop.great20yrs.unburnt.500m.transect","prop.great20yrs.unburnt.1km.transect","mean.tsf.transect","tsf.cat.shannon.diversity","prop.5yrsharvest.500m.transect","prop.20yrsharvest.500m.transect","prop.great20yrsharvest.500m.transect","prop.5yrsharvest.1km.transect","prop.20yrsharvest.1km.transect","prop.great20yrsharvest.1km.transect","tsh.shannon.diversity","mean.tsh.500m.transect","Year","BaitIntensity.Transect.Twelve","BaitIntensity.Transect.Six","BaitIntensity.Transect.Three","Rain.ThreeMonths","Rain.SixMonths","Rain.TwelveMonths","Rain.PrvAutumn","mean.smNDVI","ndvi.monthly.anomaly","prop.pasture.1km","prop.pasture.5km","DistCentroidPasture","mean.annual.precip","rain.anomaly.twelve","valleys.prop.area","Woylie_Abundance","Woylie_SD","Koomal_Abundance","Koomal_SD","Chuditch_Abundance","Chuditch_SD","Quenda_PA"
"1","Balban",2004-11-16,10,321,11,2004,10000,134,0,0,4,"Nov_2004",0.396132987502947,0.399180700955849,0.593256307474652,0.553026854802003,0.0591841546804999,0.107874374146563,7.92308759689331,0.938539661705403,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,25.4801406860352,2004,22.6588039398193,11.3349943161011,5.55084657669067,150.403762817383,415.453491210938,488.347015380859,168.954559326172,66.113662109375,-0.12866290992179,0.0153709725096069,0.184780470919576,14.6538708867637,609.22705078125,-0.198415410552402,0.312481863212618,137.702,154,32.0123333333333,73.0250000000001,2.92266666666667,9,0
"2","Balban",2006-03-21,13,80,3,2006,10000,72,4,0,14,"Mar_2006",0.396132987502947,0.39792899408284,0.593256307474652,0.560992262175694,0.0591841546804999,0.107874374146563,9.26280117034912,0.854111595994521,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,26.8198528289795,2006,26.057466506958,11.1218194961548,9.21862888336182,68.7518768310547,294.411315917969,875.048095703125,310.678436279297,66.113662109375,0.0545072862778411,0.0161690806976057,0.184839473539292,14.6538708867637,609.22705078125,0.436325085337225,0.312481863212618,79.3756666666667,91,81.08,163.025,7.03366666666667,13,0
"3","Balban",2007-03-27,15,86,3,2007,10000,42,0,1,73,"Mar_2007",0,0.011151570323168,0.593256307474652,0.550068274920346,0.0591841546804999,0.107874374146563,10.2771549224854,0.854111595994521,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,27.83420753479,2007,23.8867416381836,12.929461479187,5.37976837158203,49.2075386047363,147.510223388672,444.562652587891,69.7983779907227,66.113662109375,-0.0965275210154648,0.0160508424475318,0.17799910316018,14.6538708867637,609.22705078125,-0.270284121465388,0.312481863212618,48.3386666666667,56,281.237,530,5.38833333333333,12,1
"4","Balban",2008-04-08,17,99,4,2008,10000,24,6,0,71,"Apr_2008",0,0.011151570323168,0.593256307474652,0.550068274920346,0.0591841546804999,0.107874374146563,11.3106470108032,0.854111595994521,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,28.8677005767822,2008,17.0737171173096,11.4272165298462,5.87306308746338,13.7999992370605,138.557266235352,595.973388671875,91.3486557006836,66.113662109375,-0.0203234979604766,0.0144841856340526,0.174506148072974,14.6538708867637,609.22705078125,-0.0217548811931102,0.312481863212618,29.5093333333333,37,285.076,539,12.393,21,0
"5","Balban",2011-11-08,24,312,11,2011,10000,29,11,1,27,"Nov_2011",0.00165055411459561,0.00978607191624943,0.0205140297099741,0.0349340009103323,0.0188634755953784,0.0326581702321347,6.2105860710144,0.106326970341858,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,32.446647644043,2011,34.6652717590332,19.2085475921631,9.63910484313965,278.791900634766,523.6416015625,713.643249511719,114.398918151855,66.113662109375,0.0528652928021624,0.0131244457582028,0.170615908679679,14.6538708867637,609.22705078125,0.171391271278203,0.312481863212618,30.3993333333333,36,140.825666666667,272,34.941,52,1
"6","Balban",2012-04-24,25,115,4,2012,10000,25,28,0,50,"Apr_2012",0,0,0.0205140297099741,0.0357305416477014,0.0188634755953784,0.0326581702321347,6.66991662979126,0.0983253339631486,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,32.9059791564941,2012,36.6059494018555,17.3974018096924,9.39827537536621,23.1999988555908,191.338409423828,687.2880859375,106.101608276367,66.113662109375,0.0657185898630748,0.0133018031333136,0.171780227042081,14.6538708867637,609.22705078125,0.128131269050098,0.312481863212618,30.4113333333333,37,182.274333333333,348.025,43.636,59,0
"7","Balban",2012-11-06,26,311,11,2012,10000,42,4,0,45,"Nov_2012",0,0,0.0205140297099741,0.0357305416477014,0.0188634755953784,0.0326581702321347,7.20580148696899,0.0983253339631486,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,33.4418640136719,2012,35.9829711914062,18.5855655670166,8.73406028747559,173.659423828125,368.711853027344,507.255126953125,106.101608276367,66.113662109375,0.0409299376829682,0.0133018031333136,0.171780227042081,14.6538708867637,609.22705078125,-0.167379179400127,0.312481863212618,46.269,53.0250000000001,184.261,356,29.61,45,0
"8","Balban",2013-04-16,27,106,4,2013,10000,49,15,0,71,"Apr_2013",0,0,0.0205140297099741,0.0357305416477014,0.0200424428200896,0.0347064178425125,7.64599275588989,0.0983253339631486,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,33.8820533752441,2013,31.8069553375244,18.4809722900391,7.34736680984497,45.2946128845215,200.410751342773,577.569641113281,66.6502685546875,66.113662109375,0.0767698338246436,0.0133609222583506,0.175965479533958,14.6538708867637,609.22705078125,-0.051963237067974,0.312481863212618,53.7516666666667,62,233.070666666667,438.025,29.077,43,0
"9","Balban",2013-11-05,28,309,11,2013,10000,55,8,0,47,"Nov_2013",0,0,0.0205140297099741,0.0357305416477014,0.0200424428200896,0.0347064178425125,8.20101642608643,0.0983253339631486,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,34.4370765686035,2013,48.8784523010254,30.275390625,18.6464538574219,273.703765869141,500.809692382812,710.220397949219,66.6502685546875,66.113662109375,-0.0252572631055729,0.0133609222583506,0.175965479533958,14.6538708867637,609.22705078125,0.165772920027859,0.312481863212618,64.6283333333333,75.0250000000001,194.442666666667,368.05,21.6733333333333,34,0
"10","Balban",2014-03-11,29,70,3,2014,10000,91,7,2,59,"Mar_2014",0,0,0.0205140297099741,0.0357305416477014,0.0200424428200896,0.0347064178425125,8.54551410675049,0.0967003314598349,0,0,0.970525819382221,0,0,0.939235320892126,0.213920467531773,34.7815780639648,2014,48.9296493530273,23.4855880737305,9.30175495147705,7.1989221572876,203.809143066406,605.019348144531,150.805389404297,66.113662109375,-0.0334939313393687,0.0132131244457582,0.177176999992133,14.6538708867637,609.22705078125,-0.0069066247654679,0.312481863212618,97.0983333333333,106,225.801333333333,428.025,15.7396666666667,26,1
