"","Response","Label","Group","Mean","LCI","UCI"
"1","Chuditch","Bait Intensity","Predation",-0.0113798167627471,-0.120262175970899,0.101152370741179
"2","Chuditch","Distance to Pasture","Fragmentation",0.390454835235716,0.290509202201624,0.487919653461908
"3","Chuditch","Fire Age Diversity","Fire",0.0714053507992942,-0.0341055398596571,0.174138423173949
"4","Chuditch","Mean NDVI","Resources",-1.1717585688798,-1.34710634219718,-0.99379512827352
"5","Chuditch","NDVI Anomaly","Resources",0.0987457150713103,0.0162011975904831,0.184174599335725
"6","Chuditch","Prop <20yrs Post Harvest","Harvesting",0.461647296007601,0.331612281157764,0.591597225665915
"7","Chuditch","Prop Burnt Twice (10 yrs)","Fire",0.103868726695965,-0.00536534194361516,0.21775819618928
"8","Chuditch","Prop Moderately Burnt (3 yrs)","Fire",-0.0128243795101376,-0.107812988044726,0.0850913303428059
"9","Chuditch","Prop Pasture (1km)","Fragmentation",-0.514129743809001,-0.677947179261275,-0.352158484573015
"10","Chuditch","Prop Severely Burnt (3 yrs)","Fire",0.0479421568301325,-0.0349139401366787,0.137172338040569
"11","Chuditch","Prop Valley Habitat","Resources",0.322718317087114,0.208283311563313,0.43296137674124
"12","Fire Diversity","Distance to Assets","Fragmentation",0.113418653813475,0.0736274901533443,0.153204042877174
"13","Fire Diversity","Distance to Pasture","Fragmentation",-0.0222059422571678,-0.0626216787756721,0.0179238836011639
"14","Fire Diversity","Prop <20yrs Post Harvest","Harvesting",0.148801980486703,0.0942755982023981,0.203933890643079
"15","Fire Diversity","Prop Pasture (1km)","Fragmentation",0.167671902600984,0.118583503005185,0.218044815616564
"16","Fire Diversity","Road Density (1km)","Fragmentation",0.144510624444715,0.0768110640072196,0.210317072995129
"17","Fox Baiting Intensity","Distance to Pasture","Fragmentation",0.0885479410443695,-0.0102964063916211,0.188105622605311
"18","Fox Baiting Intensity","Prop Pasture (1km)","Fragmentation",-0.59826323798519,-0.731753487385295,-0.464742025257344
"19","Fox Baiting Intensity","Road Density (1km)","Fragmentation",-0.670841425400047,-0.802110343582047,-0.53821924874143
"20","Koomal","Bait Intensity","Predation",0.0805093349815915,0.00907007586991446,0.152014888243292
"21","Koomal","Chuditch Abundance","Species Interactions",-0.187386396202023,-0.266399507323515,-0.107921694155103
"22","Koomal","Distance to Pasture","Fragmentation",-0.0187166677062004,-0.0859656507041917,0.0503704280215271
"23","Koomal","Fire Age Diversity","Fire",-0.123752108882193,-0.206894851024591,-0.041148690014177
"24","Koomal","Mean NDVI","Resources",-0.661535574832606,-0.8037410829834,-0.523186603046817
"25","Koomal","NDVI Anomaly","Resources",0.0609504038940348,-0.00271544831183051,0.124322647396903
"26","Koomal","Prop <20yrs Post Harvest","Harvesting",0.0420593617191982,-0.0389890882711817,0.124503548819188
"27","Koomal","Prop Burnt Twice (10 yrs)","Fire",-0.063119035745319,-0.126072250170062,0.00174256733587743
"28","Koomal","Prop Moderately Burnt (3 yrs)","Fire",0.0772437590010748,0.00776345275543802,0.148677065992179
"29","Koomal","Prop Pasture (1km)","Fragmentation",-0.29354706225348,-0.403293861783571,-0.18321452483695
"30","Koomal","Prop Severely Burnt (3 yrs)","Fire",-0.0969360224996072,-0.163231719218884,-0.0261679967911207
"31","Koomal","Prop Valley Habitat","Resources",1.05470968866831,0.948140597787532,1.16003500564203
"32","Koomal","Woylie Abundance","Species Interactions",-0.361470178055966,-0.446502236033948,-0.275572569531348
"33","Mean NDVI","Mean Precipitation","Resources",0.861631764508977,0.797541598099039,0.928353553920845
"34","Mean NDVI","Prop Valley Habitat","Resources",0.340372297895548,0.27343155690047,0.40557224917626
"35","NDVI Anomaly","Precip Anomaly (last 12 months)","Resources",0.53387801746471,0.432558880272214,0.634009606893894
"36","Prop Burnt Severely","Distance to Assets","Fragmentation",0.000453590914908353,-0.0125908496612132,0.0135909889192616
"37","Prop Burnt Severely","Distance to Pasture","Fragmentation",-0.00575172467371426,-0.0195181635813436,0.00789998962774908
"38","Prop Burnt Severely","Prop <20yrs Post Harvest","Harvesting",-0.0211337175729396,-0.0391151969395936,-0.00315508627295312
"39","Prop Burnt Severely","Prop Pasture (1km)","Fragmentation",-0.00378545262610537,-0.0206893157713485,0.0136354699010787
"40","Prop Burnt Severely","Road Density (1km)","Fragmentation",0.0225084723259899,-0.000350235732876094,0.0453081480289731
"41","Prop Burnt Twice","Distance to Assets","Fragmentation",0.0161141516531901,-0.00372423424262912,0.0361283928797795
"42","Prop Burnt Twice","Distance to Pasture","Fragmentation",0.00541564113486621,-0.0144803698590594,0.025611871390588
"43","Prop Burnt Twice","Prop <20yrs Post Harvest","Harvesting",-0.0323877154747876,-0.0608753533585453,-0.0040843252742547
"44","Prop Burnt Twice","Prop Pasture (1km)","Fragmentation",0.0237439396055158,-0.00239486341417868,0.0502837661673254
"45","Prop Burnt Twice","Road Density (1km)","Fragmentation",0.0599617684040609,0.0253354591284171,0.0951046303314821
"46","Prop Recently Burnt","Distance to Assets","Fragmentation",0.00325539451899374,-0.021616285590653,0.028282900275758
"47","Prop Recently Burnt","Distance to Pasture","Fragmentation",0.00284086784473168,-0.0219823651791226,0.0278829591460446
"48","Prop Recently Burnt","Prop <20yrs Post Harvest","Harvesting",-0.0457247250152787,-0.0799817642099511,-0.0110678670625826
"49","Prop Recently Burnt","Prop Pasture (1km)","Fragmentation",0.011579196037235,-0.0209954701257212,0.0429644986837785
"50","Prop Recently Burnt","Road Density (1km)","Fragmentation",0.0410778674557861,-0.00077939666346733,0.084164808400708
"51","Prop Unburnt","Distance to Assets","Fragmentation",-0.00302771096294924,-0.0352717751130948,0.0308227816023868
"52","Prop Unburnt","Distance to Pasture","Fragmentation",-0.0199591120405094,-0.0558813930029906,0.0152718084962715
"53","Prop Unburnt","Prop <20yrs Post Harvest","Harvesting",0.125650405750699,0.0773185303933008,0.172382747695974
"54","Prop Unburnt","Prop Pasture (1km)","Fragmentation",-6.82806952126062e-05,-0.043958649422612,0.0433493183275089
"55","Prop Unburnt","Road Density (1km)","Fragmentation",-0.0284728563606116,-0.0864006217367091,0.0287318448109223
"56","Quenda","Bait Intensity","Predation",-0.157289375323169,-0.347986813776027,0.0355860838241953
"57","Quenda","Chuditch Abundance","Species Interactions",-0.0759570253488899,-0.262106217601057,0.102483780040315
"58","Quenda","Distance to Pasture","Fragmentation",-0.390976485964959,-0.583268521137865,-0.203007939613229
"59","Quenda","Fire Age Diversity","Fire",-0.169840673998033,-0.347101684491351,0.0105103034770065
"60","Quenda","Mean NDVI","Resources",-0.788537334322923,-1.07864247713929,-0.495616518597422
"61","Quenda","NDVI Anomaly","Resources",0.1909143048768,0.0532342719653049,0.334180255851927
"62","Quenda","Prop <20yrs Post Harvest","Harvesting",-0.252727697307835,-0.558827134093522,0.0461008849499217
"63","Quenda","Prop Burnt Twice (10 yrs)","Fire",0.171615030303205,0.0579705501045054,0.285544779692222
"64","Quenda","Prop Moderately Burnt (3 yrs)","Fire",-0.0319169784761584,-0.175232733750875,0.111370303626827
"65","Quenda","Prop Pasture (1km)","Fragmentation",-0.388870957475225,-0.656069706605989,-0.124996981645835
"66","Quenda","Prop Severely Burnt (3 yrs)","Fire",-0.107600691668562,-0.321580329955998,0.0703685856797989
"67","Quenda","Prop Valley Habitat","Resources",0.0556297845881032,-0.179417287270412,0.299671255961744
"68","Woylie","Bait Intensity","Predation",0.116553895537171,-0.0335047512588847,0.274516299337931
"69","Woylie","Chuditch Abundance","Species Interactions",-0.488122553790507,-0.668987873801328,-0.286786700513408
"70","Woylie","Distance to Pasture","Fragmentation",-0.219461700375342,-0.386372717051759,-0.0542366038325186
"71","Woylie","Fire Age Diversity","Fire",-0.084318142934852,-0.246873815573042,0.0814808118517921
"72","Woylie","Mean NDVI","Resources",-1.66530814952782,-1.99503711507183,-1.3419260948414
"73","Woylie","NDVI Anomaly","Resources",0.162652937579143,0.0298584163922696,0.301521067401843
"74","Woylie","Prop <20yrs Post Harvest","Harvesting",-0.169205318958808,-0.394881687690837,0.0582841913566837
"75","Woylie","Prop Burnt Twice (10 yrs)","Fire",0.24444289450929,0.046494511613953,0.449837002059241
"76","Woylie","Prop Moderately Burnt (3 yrs)","Fire",-0.232382221235302,-0.417829985883019,-0.038163024319432
"77","Woylie","Prop Pasture (1km)","Fragmentation",-0.707106936795542,-0.979988718277923,-0.439612937724592
"78","Woylie","Prop Severely Burnt (3 yrs)","Fire",-0.11977740996969,-0.245528773257232,0.0228367857160648
"79","Woylie","Prop Valley Habitat","Resources",1.21738216902577,1.02227446779714,1.40955952903817
