"","Response","Label","Group","Mean","LCI","UCI"
"1","Chuditch","Bait Intensity","Predation",0.0365118981734145,-0.0655072187529102,0.140319171376252
"2","Chuditch","Distance to Pasture","Fragmentation",0.28123969717971,0.197708635442915,0.365607916123196
"3","Chuditch","Fire Age Diversity","Fire",-0.0708886902835375,-0.175194162785913,0.034653461969471
"4","Chuditch","Harvest Age Diversity","Harvesting",0.563924340922216,0.453151390286452,0.676104571049777
"5","Chuditch","Mean NDVI","Resources",-0.951361843090694,-1.10898514939128,-0.792727500549427
"6","Chuditch","NDVI Anomaly","Resources",0.102815475607254,0.0201916151088555,0.184053668795467
"7","Chuditch","Prop Burnt Twice (10 yrs)","Fire",0.0340855780668222,-0.067512208965829,0.136453718970729
"8","Chuditch","Prop Moderately Burnt (3 yrs)","Fire",-0.00677115367059574,-0.0991447513715372,0.0829928189910698
"9","Chuditch","Prop Pasture (1km)","Fragmentation",-0.250064568139486,-0.40949078891004,-0.0859056837965936
"10","Chuditch","Prop Severely Burnt (3 yrs)","Fire",0.096266231714914,0.022382360066943,0.177795615632018
"11","Chuditch","Prop Valley Habitat","Resources",0.18741767811481,0.0753298867728571,0.298481912801967
"12","Fire Diversity","Distance to Assets","Fragmentation",0.22889622679294,0.111909061922403,0.343210558804846
"13","Fire Diversity","Distance to Pasture","Fragmentation",0.0158143839598195,-0.103169665887533,0.1324419245826
"14","Fire Diversity","Prop <20yrs Post Harvest","Harvesting",0.268561685652143,0.0903581751749835,0.4467428126844
"15","Fire Diversity","Prop Pasture (1km)","Fragmentation",0.355269252342675,0.197978352957819,0.511367899315998
"16","Fire Diversity","Road Density (1km)","Fragmentation",0.276085317516217,0.0830519827925507,0.47079650310588
"17","Fox Baiting Intensity","Distance to Pasture","Fragmentation",0.0861289328005155,-0.0162780436537571,0.18548767977813
"18","Fox Baiting Intensity","Prop Pasture (1km)","Fragmentation",-0.597690263753584,-0.735900525679011,-0.463287975760649
"19","Fox Baiting Intensity","Road Density (1km)","Fragmentation",-0.66922829385047,-0.802200277552124,-0.536727308420698
"20","Koomal","Bait Intensity","Predation",0.0274973961371939,-0.0462492038330329,0.100711399303108
"21","Koomal","Chuditch Abundance","Species Interactions",-0.0782416622365466,-0.165212181299739,0.00890680611957356
"22","Koomal","Distance to Pasture","Fragmentation",-0.0281916071131856,-0.091550336066121,0.0331314375973279
"23","Koomal","Fire Age Diversity","Fire",-0.0218385644143011,-0.107190167353275,0.0627688669326021
